기업명,다음 단계,마감일,우선순위,지원 분야,지원 사이트,지원 상태,지원일
카카오,,2025년 9월 28일,매우 높음,백엔드 개발자,,불합격,2025년 9월 8일
한화시스템/ICT,,2025년 9월 28일,,백엔드 개발자,,불합격,2025년 9월 1일
현대모비스,,2025년 9월 22일,,백엔드 개발자,,불합격,2025년 9월 8일
한국자금중개,,2025년 10월 1일,,?,,불합격,
LG CNS,,2025년 9월 18일,매우 높음,백엔드 개발자,https://careers.lg.com/apply/new-apply?id=1000781,불합격,
후성그룹,,2025년 11월 14일,,,https://foosung.careerlink.kr/jobs/apply?coNo=CO202507112703&rcrtNo=RC20251029021475,불합격,2025년 11월 14일
넷마블,,,,,,불합격,2025년 12월 18일
마이다스,,2026년 1월 4일,매우 높음,AX개발,https://midas.recruiter.co.kr/career/jobs/93544,불합격,
피앤피 시큐어,,2026년 1월 18일,,서버 애플리케이션 개발,https://pnpsecure.recruiter.co.kr/career/jobs/94574,불합격,
이지 로보틱스,,2026년 2월 8일,,윈도우 응용 S/W 개발,,서류 접수,
오토에버,,,,,https://recruit-apply.hyundai-autoever.com/cv/console/ae/resume/2466847?locale=ko#nav-typeSns,서류 접수,
